Application Name,Category,Description/Purpose,Service Provider,Hosting,Website,,,,,,,,
Account Gen,Core-IT,Homegrown account provisioning system (IdM).,IT Services,Premise,,,,,,,,,
Active Directory,Core-IT,Directory database service.,IT Services,Premise,http://msdn.microsoft.com/en-us/library/aa746492(v=vs.85).aspx,,,,,,,,
Banner Finance,Administrative,"Plan, develop, and manage institutional budgets.",Finance,Premise,http://www.ellucian.com/Software/Banner-Finance/,,,,,,,,
Banner Financial Aid,Administrative,Award aid equitably to the students who need it.,Financial Aid,Premise,http://www.ellucian.com/Software/Banner-Financial-Aid/,,,,,,,,
Banner Human Resources,Administrative,"Plan, manage, and report on key human resource processes.",Human Resorces,Premise,http://www.ellucian.com/Software/Banner-Human-Resources/,,,,,,,,
Banner Job Submission,Administrative,Automate job scheduling across multiple applications and platforms.,IT Services,Premise,http://www.suu.edu/it/admin/summit2007/cdsite/color/BGeneral/0559/0559.pdf,,,,,,,,
Banner Student,Administrative,"Banner Student related functionality including registration, course and instructors, admission, Accounts receivable, academic history.",Student Success,Premise,http://www.ellucian.com/Software/Banner-Student/,,,,,,,,
Banner Student Self Service,Administrative,"Web Based Access to Banner Student services including registration, student records, Financial Aid info. Faculty Services include class lists, schedules, grading, advising.",Student Success,Premise,,,,,,,,,
Canvas,Academic,Learning Management System.,Digital Learning,Cloud,http://www.instructure.com/,,,,,,,,
Cascade CMS,Administrative,Used by University Communications (and others in the future) as the University-wide Content Management System for University web pages.,University Communications,Premise,http://www.hannonhill.com/products/cascade-server-is/index.html,,,,,,,,
Cashnet (Informed Decisions),Administrative,Online credit card payment system for university.,Finance,Cloud,http://www.higherone.com/index.php?option=com_content&view=article&id=84&Itemid=23,,,,,,,,
Central Authentication Service (CAS),Core-IT,Authentication/Single Sign-On service.,IT Services,Premise,https://wiki.jasig.org/display/CAS/Home,,,,,,,,
Chalk and Wire e-Portfolio,Academic,"Portfolio/assement tool used by CELTUA; freshman English journals, teachered portfolios.",Academic Affairs,Cloud,http://www.chalkandwire.com/,,,,,,,,
Control-M/EM job scheduler,Core-IT,Application that runs jobs per schedules.,IT Services,Premise,http://www.bmc.com/it-solutions/product-listing/control-m-distributed-systems.html,,,,,,,,
CSGold,Academic,"Campus ID card system delivering powerful campus card and security features with scalable growth options. From facility access control to meal plans, and from card production to online functionality (account management, laundry reservations, system administration, and more).",HDRBS,Premise,https://www.cbord.com/products/selectproduct.asp?prodname=CS+Gold%26reg%3B,,,,,,,,
DARS (u.achieve degree audit),Administrative,Degree auditing software.,Registrar,Premise,http://www.units.miamioh.edu/reg/bulletins/generalbulletin2012-2013/degree-audit-reporting-system-dars.htm,,,,,,,,
Dept/User Web Services,Core-IT,Provides web file space to departments based on the Netdisk file system.,IT Services,Premise,,,,,,,,,
DHCP,Core-IT,Dynamic Host Configuration Protocol - a service which allows computers to request IP addresses and networking parameters automatically from a server.,IT Services,Premise,http://en.wikipedia.org/wiki/Dynamic_Host_Configuration_Protocol,,,,,,,,
DNS,Core-IT,"Domain name System - a hierarchical distributed naming system for computers, services, or any resource connected to the Internet or Miami's network",IT Services,Premise,http://en.wikipedia.org/wiki/Domain_Name_System,,,,,,,,
Google Apps,Core-IT,"Web-based applications such as word processing, spreadsheets, etc. through Google Inc.",IT Services/Google,Cloud,https://www.google.com/work/apps/education/products.html,,,,,,,,
Google Calendar,Core-IT,A personal calendaring system provided through Google Inc.,IT Services/Google,Cloud,https://www.google.com/work/apps/education/products.html#calendar,,,,,,,,
Google Drive,Core-IT,File storage services provided through Google Inc.,IT Services/Google,Cloud,https://www.google.com/work/apps/education/products.html#drive,,,,,,,,
Google Groups,Core-IT,A service from Google Inc. that provides discussion groups for people sharing common interests.,IT Services,Cloud,https://groups.google.com/,,,,,,,,
Google Mail,Core-IT,An email service provided through Google Inc.,IT Services/Google,Cloud,https://www.google.com/work/apps/education/products.html#gmail,,,,,,,,
Imaging (Banner),Administrative,Electronic Document Imaging.,IT Services,Premise,,,,,,,,,
Kronos,Administrative,HR time and attendance tracking system.,Human Resorces,Premise,http://www.kronos.com/time-attendance/time-tracking-software.aspx,,,,,,,,
